DEPARTAMENTO,SEXO1,SEXO2,NIVEL_EDU1,NIVEL_EDU2,NIVEL_EDU3,NIVEL_EDU4,NIVEL_EDU5,NIVEL_EDU6,NIVEL_EDU7,MAL_CRO1,MAL_CRO2,TIPO_EMPLEO1,TIPO_EMPLEO2,NO_POBREZA,SI_POBREZA
AMAZONAS,2242,2275,310,243,1848,1230,255,247,NA,1995,2322,765,1828,957,308
ANCASH,2375,2479,362,194,1525,1526,329,528,8,2313,2337,992,1893,1169,240
APURIMAC,1478,1564,322,124,952,940,172,299,2,1464,1450,523,1491,747,200
AREQUIPA,2538,2635,231,218,1113,1756,643,860,7,2109,2904,1482,1201,1353,186
AYACUCHO,1698,1857,372,168,1176,1057,239,302,1,1206,2234,601,1484,758,387
CAJAMARCA,2294,2455,455,215,1918,1253,267,320,1,1684,2917,750,2225,872,600
CALLAO,1684,1931,130,164,681,1529,475,473,9,1606,1961,1054,645,786,220
CUSCO,1895,2068,370,159,1253,1199,322,452,2,1445,2429,683,1768,1005,228
HUANCAVELICA,1658,1824,371,141,1197,1095,214,242,1,812,2549,543,1738,724,316
HUANUCO,2113,2247,469,198,1492,1140,206,420,3,1508,2591,818,1665,890,373
ICA,2423,2648,202,212,1025,1851,723,725,13,2152,2798,1518,1186,1475,45
JUNIN,2327,2509,292,196,1357,1635,419,606,5,1837,2865,1140,1742,1268,253
LA LIBERTAD,2636,2901,354,256,1691,1724,496,654,6,2385,2988,1321,1578,1197,347
LAMBAYEQUE,2595,2714,313,243,1401,1844,533,603,6,2270,2882,1364,1444,1279,133
LIMA,7435,7967,559,579,3038,5993,1840,2651,29,6834,8340,4491,3251,3755,797
LORETO,3150,3126,334,399,2138,2044,374,386,4,1946,4107,873,2172,966,423
MADRE DE DIOS,1023,998,90,94,560,756,176,207,1,441,1546,534,547,570,45
MOQUEGUA,1422,1450,112,98,624,982,423,446,2,1511,1260,831,851,871,118
PASCO,1444,1589,194,157,930,935,248,326,NA,1127,1781,632,1063,619,260
PIURA,3012,3183,326,316,1950,2112,546,495,7,2337,3680,1448,1932,1260,370
PUNO,1573,1754,264,102,1116,1168,208,317,1,1662,1612,661,1533,740,401
SAN MARTIN,2491,2557,300,226,1916,1469,378,346,5,1901,2935,1062,1829,1148,217
TACNA,1988,2068,141,157,873,1592,426,657,8,1782,2188,1193,1028,1090,231
TUMBES,1511,1574,107,142,855,1166,339,300,4,1297,1731,735,839,724,137
UCAYALI,2347,2402,270,241,1452,1675,384,299,4,1527,3063,933,1360,969,186
